2019-04-28 17:16:14.652 INFO  --- [HikariDataSource.java:381][Thread-7] - HikariPool-1 - Shutdown initiated...
2019-04-28 17:16:14.659 INFO  --- [HikariDataSource.java:383][Thread-7] - HikariPool-1 - Shutdown completed.
2019-04-28 17:16:14.993 INFO  --- [StartupInfoLogger.java:50][restartedMain] - Starting Application on DESKTOP-TL9S3KD with PID 37616 (D:\work\2018\merckActrl\merckActrlNew\target\classes started by ThinkPad in D:\work\2018\merckActrl\merckActrlNew)
2019-04-28 17:16:14.993 INFO  --- [SpringApplication.java:680][restartedMain] - No active profile set, falling back to default profiles: default
2019-04-28 17:16:16.312 WARN  --- [ThymeleafAutoConfiguration.java:104][restartedMain] - Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
2019-04-28 17:16:16.496 INFO  --- [StartupInfoLogger.java:59][restartedMain] - Started Application in 1.55 seconds (JVM running for 63.438)
2019-04-28 17:19:14.926 INFO  --- [StartupInfoLogger.java:50][restartedMain] - Starting Application on DESKTOP-TL9S3KD with PID 40816 (D:\work\2018\merckActrl\merckActrlNew\target\classes started by ThinkPad in D:\work\2018\merckActrl\merckActrlNew)
2019-04-28 17:19:14.930 INFO  --- [SpringApplication.java:680][restartedMain] - No active profile set, falling back to default profiles: default
2019-04-28 17:19:18.843 WARN  --- [ThymeleafAutoConfiguration.java:104][restartedMain] - Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
2019-04-28 17:19:19.522 INFO  --- [StartupInfoLogger.java:59][restartedMain] - Started Application in 4.883 seconds (JVM running for 5.718)
2019-04-28 17:19:30.567 INFO  --- [HikariDataSource.java:110][http-nio-8080-exec-1] - HikariPool-1 - Starting...
2019-04-28 17:19:31.048 INFO  --- [HikariDataSource.java:123][http-nio-8080-exec-1] - HikariPool-1 - Start completed.
2019-04-28 17:21:30.467 INFO  --- [HikariDataSource.java:381][Thread-8] - HikariPool-1 - Shutdown initiated...
2019-04-28 17:21:30.473 INFO  --- [HikariDataSource.java:383][Thread-8] - HikariPool-1 - Shutdown completed.
